geoid,name,year,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US01,Alabama,2005-2009,.49573094,.013487491,1.0506415,.012106758,1.0069367,.010115618,26.113621,.025649849,2.8104873,.0063895024,97.189507,.0063895024,.043704785,.0066519044,68.503441,.0082525602,31.496561,.0082525602,.82752043,.028326357,2.0467219,.041197367,1.2192017,.029913889,70.293282,.027224265
04000US01,Alabama,2006-2010,.54775965,.016975584,1.1243777,.013240884,1.0868405,.011751334,26.149294,.032132357,3.4454281,.0071849544,96.554573,.0071849544,.037537258,.0061014066,67.664978,.010396901,32.33503,.010396901,.98112506,.036608435,2.2833645,.045602378,1.3022395,.027191892,69.895203,.036002167
04000US01,Alabama,2007-2011,.55606997,.018426247,1.1358581,.011078545,1.1094016,.010192698,26.206043,.024470158,3.6649351,.0037006149,96.335068,.0037006149,.026456453,.0043408601,67.302773,.0071451324,32.697227,.0071451324,1.0481263,.037979323,2.4314661,.047950793,1.3833398,.029271992,69.670563,.037748836
04000US01,Alabama,2008-2012,.54771227,.015104277,1.1768299,.013388981,1.1496599,.012851997,26.292887,.026187534,3.8152723,.0072149327,96.184731,.0072149327,.027170012,.0037538011,67.034218,.0081183901,32.965786,.0081183901,1.0609492,.03743621,2.4600375,.048088353,1.3990881,.030183105,69.52253,.038034275
04000US01,Alabama,2009-2013,.52670431,.014959193,1.2130578,.013649546,1.1841576,.013261876,26.298794,.024725102,3.9233825,.0067132707,96.076622,.0067132707,.028900186,.0032299696,66.790955,.0091199148,33.209045,.0091199148,1.1521735,.040824287,2.6554208,.053118344,1.5032473,.033984352,69.306023,.042800266
04000US01,Alabama,2010-2014,.52267921,.013854749,1.2402656,.013074882,1.2105832,.012643404,26.35726,.029993389,3.9819598,.006195521,96.018044,.006195521,.029682348,.0033311967,66.558784,.0082775187,33.441212,.0082775187,1.2167273,.041034285,2.8031344,.053422745,1.5864074,.034207854,69.07666,.039242506
04000US01,Alabama,2011-2015,.49372545,.012911555,1.2842658,.019706504,1.2337754,.017353836,26.426088,.031448323,4.0055313,.0073240991,95.994469,.0073240991,.050490413,.0093375975,66.347359,.0098032188,33.652637,.0098032188,1.2643926,.037438478,2.9545689,.04711521,1.6901765,.028604258,68.841347,.033386316
04000US01,Alabama,2012-2016,.49407539,.017190469,1.2962172,.018412456,1.2547395,.016889103,26.482328,.030965447,3.9970345,.0050227814,96.002968,.0050227814,.041477628,.007333261,66.189346,.0080615645,33.81065,.0080615645,1.2804979,.041601188,3.0447843,.055023812,1.7642865,.036013346,68.682594,.039579518
04000US01,Alabama,2013-2017,.51740229,.015702702,1.3405704,.018439092,1.2949488,.016880717,26.535309,.027031709,4.0895557,.0029325078,95.910439,.0029325078,.045621615,.0074189943,65.929291,.010351502,34.070705,.010351502,1.380028,.04279707,3.2113657,.054728791,1.8313378,.034112334,68.395355,.042182997
04000US02,Alaska,2005-2009,13.458257,.15670486,5.2912865,.072559848,4.6663799,.067540593,3.6831288,.095215328,5.8056741,.025094135,94.194321,.025094135,.62490672,.026517915,65.627495,.024204273,34.372501,.024204273,1.6999394,.088986292,9.1115761,.19469331,7.4116364,.17316732,68.455757,.10491484
04000US02,Alaska,2006-2010,14.195828,.16059723,6.1253867,.10510888,5.2114544,.10052718,3.2776852,.067897625,5.5546312,.05567253,94.445374,.05567253,.91393238,.030694652,64.271568,.071063839,35.728436,.071063839,1.422621,.082057625,9.2487011,.19889387,7.8260794,.1811776,67.152397,.091204457
04000US02,Alaska,2007-2011,13.932864,.15642127,6.1024427,.071258411,5.1251388,.064546548,3.3432138,.066455193,5.5960941,.0076345387,94.403908,.0076345387,.97730422,.030191129,64.400467,.025159275,35.599533,.025159275,1.2817128,.082765341,9.1886292,.18251272,7.9069161,.16266772,67.432854,.10818489
04000US02,Alaska,2008-2012,13.917954,.12907928,6.3744216,.08894214,5.3390408,.084029756,3.4056635,.068044439,5.6769495,.0023080402,94.323051,.0023080402,1.0353813,.029149693,63.938133,.022909436,36.061867,.022909436,1.1018943,.072233103,9.0879555,.19763264,7.986062,.18395934,67.214005,.094715126
04000US02,Alaska,2009-2013,14.059525,.12448101,6.5544844,.095348291,5.4420562,.089204349,3.4752805,.060679212,5.9462795,.010549237,94.053719,.010549237,1.1124284,.033673164,63.468807,.021604838,36.531189,.021604838,1.1664325,.076038897,9.0458908,.16431639,7.8794584,.14566387,66.864815,.084393896
04000US02,Alaska,2010-2014,14.107236,.11885947,6.7706985,.091358759,5.6262531,.086974412,3.4529727,.060097482,6.212687,.0097658401,93.787315,.0097658401,1.144446,.027962023,62.925167,.02362165,37.074833,.02362165,1.1508994,.083218321,9.1861868,.16796748,8.0352879,.14590333,66.48291,.091314785
04000US02,Alaska,2011-2015,13.814624,.14381608,7.0580535,.089707188,5.8525314,.082393773,3.4118969,.066561565,6.5189028,.0089522405,93.481102,.0089522405,1.2055224,.035477396,62.378727,.024701552,37.621273,.024701552,1.2644281,.086123876,9.6850853,.20092542,8.4206581,.18153156,66.030342,.10245343
04000US02,Alaska,2012-2016,14.056225,.12556446,7.203588,.10218976,6.0009093,.098587073,3.3172064,.06492722,6.6540904,0,93.345909,0,1.2026789,.026894882,61.962666,.022769902,38.037334,.022769902,1.3435479,.089099616,9.8038282,.21434303,8.4602804,.19494665,65.619156,.10048457
04000US02,Alaska,2013-2017,14.216082,.1307061,7.4034109,.082275786,6.1746764,.07646472,3.2091961,.064941511,6.7918196,0,93.208183,0,1.2287341,.030371884,61.537979,.031771131,38.462021,.031771131,1.4223528,.09597186,9.9135485,.19777648,8.4911957,.17293043,65.257767,.12082907
04000US04,Arizona,2005-2009,4.4944038,.02550843,2.5984113,.017062815,2.4237831,.014724536,3.593468,.023172881,29.753647,0,70.246353,0,.17462823,.0086213509,58.500111,.012513933,41.499889,.012513933,9.1350727,.085521489,11.732045,.096247256,2.5969725,.044154383,77.581673,.091836117
04000US04,Arizona,2006-2010,4.4556456,.025126478,2.8606734,.018114809,2.6679673,.017107803,3.8524427,.018878918,29.049583,0,70.950417,0,.19270617,.0059556174,58.702404,.011726338,41.2976,.011726338,7.9877009,.083495423,10.653715,.094436496,2.6660142,.044122171,78.177521,.094608679
04000US04,Arizona,2007-2011,4.4337931,.024019234,2.90693,.02195421,2.7186344,.021083975,3.9784153,.024690697,29.418737,0,70.581261,0,.18829568,.0061199162,58.169735,.013093553,41.830265,.013093553,7.2614632,.08919923,9.9804134,.10262738,2.7189498,.050753105,78.700447,.10892109
04000US04,Arizona,2008-2012,4.4268589,.021306533,2.9652882,.017205566,2.7702165,.016489569,4.0911694,.025725245,29.682613,0,70.31739,0,.19507161,.0049117869,57.743633,.0092546409,42.256371,.0092546409,6.3773565,.070187353,9.1847439,.08429338,2.8073871,.046680938,79.33194,.089123324
04000US04,Arizona,2009-2013,4.4284897,.023163281,3.0180397,.016955974,2.8234782,.015892506,4.1672745,.024701873,29.877111,0,70.122894,0,.19456139,.0059104366,57.349033,.010807655,42.650967,.010807655,6.2373075,.086517535,9.1890631,.09958753,2.9517558,.049319312,79.197136,.094520077
04000US04,Arizona,2010-2014,4.4315977,.026719308,3.1046028,.020110492,2.9119947,.019131539,4.1816554,.026311658,30.130629,0,69.86937,0,.19260792,.006198063,56.920582,.0079490859,43.079422,.0079490859,6.3709817,.078462474,9.427166,.097735912,3.0561841,.058274768,78.85498,.093804769
04000US04,Arizona,2011-2015,4.4372807,.019073818,3.2002907,.018853618,3.0125289,.017472131,4.2393713,.024455491,30.333227,0,69.666771,0,.18776174,.0070840381,56.50246,.0076331883,43.497536,.0076331883,6.4874229,.084349476,9.6769342,.093787521,3.1895106,.04100322,78.446121,.093053505
