Numeric code,state,Name,count,race,population,ratio
1,AL,Alabama,141,Total,4850771,29.07
1,AL,Alabama,76,White,3198079,23.76
1,AL,Alabama,3,Hispanic,198375,15.12
1,AL,Alabama,37,Black,1280946,28.88
2,AK,Alaska,51,Total,738565,69.05
2,AK,Alaska,28,White,454498,61.61
2,AK,Alaska,3,Black,22534,133.13
4,AZ,Arizona,341,Total,6809946,50.07
4,AZ,Arizona,123,White,3786418,32.48
4,AZ,Arizona,100,Hispanic,2103523,47.54
4,AZ,Arizona,21,Black,276146,76.05
5,AR,Arkansas,105,Total,2977944,35.26
5,AR,Arkansas,26,Black,457251,56.86
5,AR,Arkansas,57,White,2174326,26.22
6,CA,California,384,Hispanic,15105860,25.42
6,CA,California,262,White,14777594,17.73
6,CA,California,159,Black,2161459,73.56
6,CA,California,1079,Total,38982847,27.68
8,CO,Colorado,263,Total,5436519,48.38
8,CO,Colorado,20,Black,209885,95.29
8,CO,Colorado,59,Hispanic,1157200,50.99
8,CO,Colorado,116,White,3731976,31.08
9,CT,Connecticut,5,Black,350820,14.25
9,CT,Connecticut,22,Total,3594478,6.12
9,CT,Connecticut,9,White,2446049,3.68
9,CT,Connecticut,7,Hispanic,551916,12.68
10,DE,Delaware,17,Total,943732,18.01
10,DE,Delaware,6,White,594911,10.09
10,DE,Delaware,1,Hispanic,84793,11.79
10,DE,Delaware,6,Black,201411,29.79
11,DC,District of Columbia,2,White,241901,8.27
11,DC,District of Columbia,23,Total,672391,34.21
11,DC,District of Columbia,16,Black,315159,50.77
12,FL,Florida,472,Total,20278447,23.28
12,FL,Florida,202,White,11124951,18.16
12,FL,Florida,61,Hispanic,5015015,12.16
12,FL,Florida,141,Black,3129406,45.06
13,GA,Georgia,277,Total,10201635,27.15
13,GA,Georgia,100,White,5469446,18.28
13,GA,Georgia,14,Hispanic,950380,14.73
13,GA,Georgia,98,Black,3150514,31.11
15,HI,Hawaii,37,Total,1421658,26.03
15,HI,Hawaii,3,White,316047,9.49
15,HI,Hawaii,2,Black,23977,83.41
15,HI,Hawaii,1,Hispanic,145381,6.88
84,HI,Howland Island,2,Black,0,inf
84,HI,Howland Island,3,White,0,inf
84,HI,Howland Island,37,Total,0,inf
84,HI,Howland Island,1,Hispanic,0,inf
16,ID,Idaho,40,White,1368118,29.24
16,ID,Idaho,61,Total,1657375,36.81
16,ID,Idaho,1,Black,10658,93.83
16,ID,Idaho,6,Hispanic,201978,29.71
17,IL,Illinois,70,Black,1806398,38.75
17,IL,Illinois,149,Total,12854526,11.59
17,IL,Illinois,36,White,7955484,4.53
17,IL,Illinois,17,Hispanic,2162070,7.86
18,IN,Indiana,35,Black,604249,57.92
18,IN,Indiana,78,White,5280583,14.77
18,IN,Indiana,138,Total,6614418,20.86
18,IN,Indiana,5,Hispanic,441968,11.31
19,IA,Iowa,8,Black,104194,76.78
19,IA,Iowa,30,White,2697252,11.12
19,IA,Iowa,45,Total,3118102,14.43
20,KS,Kansas,9,Black,163490,55.05
20,KS,Kansas,10,Hispanic,334860,29.86
20,KS,Kansas,40,White,2220256,18.02
20,KS,Kansas,70,Total,2903820,24.11
21,KY,Kentucky,3,Hispanic,152072,19.73
21,KY,Kentucky,85,White,3764473,22.58
21,KY,Kentucky,136,Total,4424376,30.74
21,KY,Kentucky,18,Black,348472,51.65
22,LA,Louisiana,153,Total,4663461,32.81
22,LA,Louisiana,73,Black,1490050,48.99
22,LA,Louisiana,2,Hispanic,231708,8.63
22,LA,Louisiana,50,White,2752253,18.17
23,ME,Maine,1,Black,16065,62.25
23,ME,Maine,1,Hispanic,20427,48.95
23,ME,Maine,21,White,1244859,16.87
23,ME,Maine,30,Total,1330158,22.55
24,MD,Maryland,61,Black,1754143,34.77
24,MD,Maryland,4,Hispanic,573303,6.98
24,MD,Maryland,31,White,3109275,9.97
24,MD,Maryland,105,Total,5996079,17.51
25,MA,Massachusetts,22,White,4952367,4.44
25,MA,Massachusetts,54,Total,6789319,7.95
25,MA,Massachusetts,8,Black,453683,17.63
